epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,133.39,1.4839,0.8407,0.98745,0.49501,0.000237115,0.000237115,0.000237115
2,267.835,0.57199,0.88762,0.994,0.35017,0.000459436,0.000459436,0.000459436
3,399.039,0.45226,0.89198,0.99509,0.3257,0.00066605,0.00066605,0.00066605
4,530.945,0.41563,0.91162,0.99782,0.26861,0.000643314,0.000643314,0.000643314
5,663.013,0.33631,0.91708,0.99673,0.2515,0.000619752,0.000619752,0.000619752
6,794.188,0.28735,0.92744,0.99618,0.23229,0.00059619,0.00059619,0.00059619
7,925.145,0.24743,0.93344,0.99673,0.19948,0.000572628,0.000572628,0.000572628
8,1057.15,0.23159,0.93017,0.99454,0.22738,0.000549066,0.000549066,0.000549066
9,1188.7,0.21479,0.93126,0.99509,0.23739,0.000525504,0.000525504,0.000525504
10,1319.81,0.19274,0.93944,0.99564,0.2371,0.000501942,0.000501942,0.000501942
11,1450.73,0.18564,0.93126,0.99564,0.23388,0.00047838,0.00047838,0.00047838
12,1582.46,0.16292,0.93562,0.994,0.21724,0.000454818,0.000454818,0.000454818
13,1714.29,0.14801,0.9389,0.99564,0.21934,0.000431256,0.000431256,0.000431256
14,1845.55,0.1501,0.93617,0.99454,0.24474,0.000407694,0.000407694,0.000407694
15,1976.97,0.13402,0.94217,0.99618,0.21553,0.000384132,0.000384132,0.000384132
16,2108.67,0.1252,0.94163,0.99454,0.21199,0.00036057,0.00036057,0.00036057
17,2239.15,0.13219,0.94599,0.99509,0.21947,0.000337008,0.000337008,0.000337008
18,2370.04,0.11284,0.9389,0.99509,0.22947,0.000313446,0.000313446,0.000313446
19,2501.28,0.10559,0.93835,0.99673,0.21475,0.000289884,0.000289884,0.000289884
20,2633.24,0.09333,0.94544,0.99673,0.21379,0.000266322,0.000266322,0.000266322
21,2764.37,0.09899,0.94217,0.99454,0.21342,0.00024276,0.00024276,0.00024276
22,2895.51,0.10372,0.94272,0.99454,0.20638,0.000219198,0.000219198,0.000219198
23,3027.23,0.08611,0.94654,0.99509,0.20501,0.000195636,0.000195636,0.000195636
24,3158.82,0.07564,0.94654,0.99454,0.20514,0.000172074,0.000172074,0.000172074
25,3289.31,0.07679,0.94381,0.99564,0.21638,0.000148512,0.000148512,0.000148512
26,3420.11,0.08333,0.94926,0.99564,0.20448,0.00012495,0.00012495,0.00012495
27,3552.04,0.06411,0.94654,0.99454,0.20006,0.000101388,0.000101388,0.000101388
28,3683.85,0.06848,0.94926,0.99509,0.20108,7.7826e-05,7.7826e-05,7.7826e-05
29,3814.88,0.07056,0.94817,0.99509,0.20859,5.4264e-05,5.4264e-05,5.4264e-05
30,3945.43,0.056,0.9509,0.99564,0.20574,3.0702e-05,3.0702e-05,3.0702e-05
